"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","AngleInside","AngleOutside","ClumpDiam","TransectCount","TallestStemLigule","TallestStemTrueLeaf","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
1,4,9,"27873"," - Mx 1553#5","5",1.8,2.9,2.2,2.3,0.6,0,5,90,13,14,14,NA,"0","","","y"
2,7,7,"27962"," - Mx 1553#5","5",2.2,3.3,3.4,3,0.7,0,25,210,10,16,16,NA,"0","","","y"
3,2,12,"28102"," - Mx 1553#5","5",3.7,2.8,4.3,3.6,0.8,5,15,180,4,14,14,NA,"0","","","y"
1,2,7,"27853"," - Mx 1553#6","6",3,3.7,2.8,3.2,0.5,0,10,280,22,141,117,150,"","","y","y"
2,4,7,"27959"," - Mx 1553#6","6",5,5.4,4.1,4.8,0.7,0,15,170,10,110,85,110,"","","y","y"
3,9,1,"28014"," - Mx 1553#6","6",3.6,4.5,5.7,4.6,1.1,0,5,320,15,160,135,160,"","","y","y"
1,3,11,"27888"," - Mx 1553#7","7",4.4,3.7,4.2,4.1,0.4,0,15,240,20,120,105,120,"","y","","y"
2,5,12,"28001"," - Mx 1553#7","7",4.4,3,4,3.8,0.7,0,10,230,22,134,119,134,"","","y","y"
3,4,9,"28077"," - Mx 1553#7","7",2.5,4.2,4.3,3.7,1,0,5,240,17,98,94,NA,"","y","","y"
1,5,8,"27865"," - Mx 1553#8","8",4.9,2.9,3.7,3.8,1,0,20,260,22,90,90,NA,"0","","","y"
2,5,6,"27952"," - Mx 1553#8","8",3.2,5.3,4.7,4.4,1.1,0,10,300,20,91,91,NA,"0","","","y"
3,9,11,"28100"," - Mx 1553#8","8",5.7,5.5,5.3,5.5,0.2,0,5,320,21,106,106,NA,"0","","","y"
1,9,7,"27860"," - Mx 1553#9","9",4.5,3.3,3.1,3.6,0.8,0,20,110,7,44,44,NA,"0","","","y"
2,6,2,"27917"," - Mx 1553#9","9",7.1,3.4,5.8,5.4,1.9,0,20,190,9,43,43,NA,"0","","","y"
3,2,5,"28041"," - Mx 1553#9","9",3.3,2.3,1.4,2.3,1,0,10,80,3,32,32,NA,"0","","","y"
1,4,12,"27897"," - Mx 1553#10","10",3.3,3.8,3.3,3.5,0.3,0,15,290,38,161,142,161,"","","y","y"
2,1,1,"27903"," - Mx 1553#10","10",5.6,4.3,4.1,4.7,0.8,0,20,260,21,157,135,157,"y","","","y"
3,6,2,"28019"," - Mx 1553#10","10",3.6,3.7,4.7,4,0.6,0,10,240,20,150,133,150,"","","y","y"
1,9,2,"27818"," - Mx 1553#11","11",5.4,5.9,6.4,5.9,0.5,0,15,220,19,138,127,138,"","","y","y"
2,6,11,"27993"," - Mx 1553#11","11",5,7,4.1,5.4,1.5,0,15,270,14,128,105,128,"","","y","y"
2,9,1,"27911"," - Mx 1553#11","11",6.7,4.5,4.7,5.3,1.2,0,10,200,6,109,90,109,"","y","","y"
3,7,2,"28020"," - Mx 1553#11","11",4.1,4.3,5.9,4.8,1,0,10,430,17,150,132,150,"","","y","y"
3,7,8,"28071"," - Mx 1553#11","11",5.7,4.7,4.9,5.1,0.5,0,10,330,13,140,123,140,"","","y","y"
1,2,1,"27802"," - Mx 1553#12","12",3.3,2.7,3.2,3.1,0.3,0,10,260,33,138,110,140,"","","y","y"
2,9,9,"27980"," - Mx 1553#12","12",4.2,3.5,3.9,3.9,0.4,0,10,300,23,125,107,128,"","y","","y"
3,7,6,"28054"," - Mx 1553#12","12",4.6,2.9,3.5,3.7,0.9,0,10,270,28,140,109,144,"","","y","y"
1,7,7,"27858"," - Mx 1553#14","14",3.4,4.3,4.2,4,0.5,5,15,180,10,125,93,126,"","","y","y"
2,5,9,"27977"," - Mx 1553#14","14",4.4,6.7,5.5,5.5,1.2,0,15,300,16,157,123,157,"","","y","y"
3,1,4,"28032"," - Mx 1553#14","14",6.4,3.6,3,4.3,1.8,0,10,290,18,121,95,121,"","","y","y"
1,4,5,"27838"," - Mx 1553#15","15",4.9,3.4,5.7,4.7,1.2,5,20,400,20,158,123,161,"","","y","y"
2,5,10,"aBR 15 fS B2-R5 C10"," - Mx 1553#15","15",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,6,4,"28036"," - Mx 1553#15","15",4.9,4.5,3.3,4.2,0.8,0,5,330,14,167,138,170,"","","y","y"
1,7,9,"27876"," - Mx 1553#16","16",3.6,5.2,4.5,4.4,0.8,5,15,190,20,119,93,133,"","","y","y"
2,3,9,"27975"," - Mx 1553#16","16",4.3,3.4,4.6,4.1,0.6,0,10,160,19,121,104,133,"","","y","y"
3,5,8,"28069"," - Mx 1553#16","16",4.4,5.1,5.1,4.9,0.4,0,5,200,17,118,95,129,"","","y","y"
1,5,1,"27805"," - Mx 1553#17","17",5,5.5,5.6,5.4,0.3,0,10,200,10,134,120,134,"","","y","y"
2,7,4,"27936"," - Mx 1553#17","17",5.8,4.7,6.1,5.5,0.7,5,10,200,6,114,78,114,"","","y","y"
3,8,5,"28047"," - Mx 1553#17","17",5.8,2.7,4.6,4.4,1.6,0,5,200,7,147,114,147,"","","y","y"
1,8,9,"27877"," - Mx 1553#18","18",3,2.9,3,3,0.1,0,10,250,24,120,102,125,"","","y","y"
2,7,1,"27909"," - Mx 1553#18","18",3.9,4.4,3.4,3.9,0.5,0,15,270,31,127,104,127,"","","y","y"
3,6,6,"28053"," - Mx 1553#18","18",3.7,2.9,3.6,3.4,0.4,0,10,270,26,127,106,127,"","","y","y"
1,8,3,"27825"," - Mx 1553#19","19",2.8,5,3.7,3.8,1.1,0,15,180,21,127,104,127,"","","y","y"
2,9,12,"28005"," - Mx 1553#19","19",5.2,5.3,4.9,5.1,0.2,0,15,200,14,131,108,131,"","","y","y"
3,8,12,"28107"," - Mx 1553#19","19",4.2,3.9,3,3.7,0.6,0,10,190,16,128,97,128,"","","y","y"
1,4,10,"27881"," - Mx 1553#20","20",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,8,1,"27910"," - Mx 1553#20","20",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,8,7,"28063"," - Mx 1553#20","20",4.6,3.7,4.1,4.1,0.5,0,10,210,7,62,62,NA,"0","","","y"
1,5,9,"27874"," - Mx 1553#22","22",4.1,3.6,2.5,3.4,0.8,0,10,280,24,147,121,153,"","","y","y"
2,3,7,"27958"," - Mx 1553#22","22",3,4.6,4.2,3.9,0.8,0,10,290,25,132,110,135,"","","y","y"
3,5,4,"28035"," - Mx 1553#22","22",3.1,4.1,3.8,3.7,0.5,0,10,430,20,158,128,158,"","","y","y"
1,3,5,"27837"," - Mx 1553#23","23",4.2,5.9,3.7,4.6,1.2,5,20,210,19,134,113,141,"","","y","y"
2,7,9,"27978"," - Mx 1553#23","23",4.9,5.4,5.6,5.3,0.4,0,15,300,20,137,115,144,"","","y","y"
3,2,1,"28007"," - Mx 1553#23","23",4.7,3.9,5.4,4.7,0.8,0,15,200,17,139,112,141,"","","y","y"
1,4,1,"27804"," - Mx 1553#24","24",4.8,6.3,4.2,5.1,1.1,0,10,330,32,165,143,165,"","","y","y"
2,5,8,"27969"," - Mx 1553#24","24",4.6,3.5,4.7,4.3,0.7,5,15,220,19,183,150,189,"","","y","y"
3,2,9,"28075"," - Mx 1553#24","24",4.9,5.4,4.2,4.8,0.6,0,5,210,14,145,118,145,"","","y","y"
1,1,3,"27819"," - Mx 1553#25","25",4.4,4.5,4.8,4.6,0.2,0,5,400,12,132,112,132,"","","y","y"
2,3,3,"27923"," - Mx 1553#25","25",5.8,4,5,4.9,0.9,5,5,500,9,114,96,114,"","y","","y"
3,4,4,"28034"," - Mx 1553#25","25",3.7,4.5,7.2,5.1,1.8,0,15,280,20,47,47,NA,"0","","","y"
1,7,11,"27892"," - Mx 1553#26","26",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,6,5,"27944"," - Mx 1553#26","26",7.1,4.3,3.2,4.9,2,25,40,150,6,44,44,NA,"0","","","y"
3,6,8,"28070"," - Mx 1553#26","26",3.3,5.8,2.8,4,1.6,5,10,160,2,29,29,NA,"0","","","y"
1,8,1,"27808"," - Mx 1553#27","27",4.4,3.8,4.2,4.1,0.3,0,5,330,16,75,75,NA,"0","","","y"
2,3,1,"27905"," - Mx 1553#27","27",4.8,5.3,5.1,5.1,0.3,0,15,220,9,60,60,NA,"0","","","y"
3,7,11,"28098"," - Mx 1553#27","27",5,3.8,3.9,4.2,0.7,0,10,310,12,54,54,NA,"0","","","y"
1,1,7,"27852"," - Mx 1553#28","28",3.3,2.6,3,3,0.4,0,10,150,16,114,98,114,"","y","","y"
2,1,8,"aBR 15 fS B2-R1 C8"," - Mx 1553#28","28",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,3,8,"28067"," - Mx 1553#28","28",2.8,4.2,3.7,3.6,0.7,0,5,240,14,134,112,134,"","y","","y"
1,4,4,"27829"," - Mx 1553#32","32",2.8,3.9,3,3.2,0.6,5,15,260,15,54,54,NA,"0","","","y"
2,6,1,"27908"," - Mx 1553#32","32",3.9,2.9,3.8,3.5,0.6,0,10,350,16,61,61,NA,"0","","","y"
3,1,11,"28092"," - Mx 1553#32","32",3,2.7,1.8,2.5,0.6,0,15,270,14,45,45,NA,"0","","","y"
1,8,4,"27833"," - Mx 1553#34","34",3.9,4.3,2.5,3.6,0.9,0,15,180,22,90,79,90,"y","","","y"
2,9,4,"27938"," - Mx 1553#34","34",2.8,4.1,5.6,4.2,1.4,0,10,310,16,106,93,106,"","","y","y"
3,3,3,"28025"," - Mx 1553#34","34",3.2,3.4,3.7,3.4,0.3,0,10,220,18,69,69,NA,"0","","","y"
1,9,4,"27834"," - Mx 1553#35","35",2.5,2.8,5.8,3.7,1.8,0,10,230,23,85,85,NA,"0","","","y"
2,4,12,"28000"," - Mx 1553#35","35",4.6,3.9,3.8,4.1,0.4,0,15,250,23,103,103,NA,"0","","","y"
3,9,10,"28091"," - Mx 1553#35","35",4.4,4.7,5.4,4.8,0.5,0,10,300,16,75,75,NA,"0","","","y"
1,2,6,"27844"," - Mx 1553#36","36",5.7,5.3,4.8,5.3,0.5,0,15,210,19,166,143,166,"","y","","y"
2,6,10,"27986"," - Mx 1553#36","36",7.3,5.9,4.5,5.9,1.4,0,15,240,12,165,150,165,"","y","","y"
3,7,9,"28080"," - Mx 1553#36","36",4.9,6.1,5.1,5.4,0.6,0,15,280,16,168,154,168,"y","","","y"
1,3,6,"27845"," - Mx 1553#37","37",4.3,4.7,3.7,4.2,0.5,5,20,180,22,116,87,124,"0","","y","y"
2,7,11,"27994"," - Mx 1553#37","37",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,3,7,"28058"," - Mx 1553#37","37",3.4,6.3,4.3,4.7,1.5,0,5,350,14,125,103,135,"","","y","y"
1,6,7,"27857"," - Mx 1553#39","39",4.2,4.5,5.7,4.8,0.8,0,15,240,22,149,139,149,"","","y","y"
2,4,4,"27933"," - Mx 1553#39","39",4.9,4.6,3.8,4.4,0.6,0,15,200,23,154,141,154,"","","y","y"
3,9,7,"28064"," - Mx 1553#39","39",5.1,4.6,4.8,4.8,0.3,0,10,290,18,150,137,150,"","","y","y"
1,7,5,"27841"," - Mx 1553#40","40",4.7,3.7,3.2,3.9,0.8,0,5,150,9,71,71,NA,"0","","","y"
2,2,8,"27966"," - Mx 1553#40","40",4.1,3.9,4.4,4.1,0.3,0,5,250,16,73,73,NA,"0","","","y"
3,8,9,"28081"," - Mx 1553#40","40",4.2,3.2,5,4.1,0.9,0,5,360,15,76,76,NA,"0","","","y"
1,8,7,"27859"," - Mx 1553#41","41",5.6,2.5,4.3,4.1,1.6,0,15,190,21,145,127,145,"","","y","y"
